L_tube,D_int,D_ext,N_p,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,valid
2,0.012,0.02,4,4853.36006489421,4.85336006489421,0.255804966665664,255.804966665664,18.5030588918044,5.7950684435149,1
2,0.012,0.02,6,15262.084550186,15.262084550186,0.255804966665664,255.804966665664,18.5030588918044,6.01485515162376,0
2,0.012,0.02,8,34552.2069602565,34.5522069602565,0.255804966665664,255.804966665664,18.5030588918044,6.13979465013698,0
2,0.015,0.018,2,219.547134882169,0.219547134882169,0.249623496825726,249.623496825726,19.9736288011139,5.22030714232225,1
2,0.015,0.018,4,1528.38462884753,1.52838462884753,0.249623496825726,249.623496825726,19.9736288011139,5.82411258053659,1
2,0.015,0.018,6,4801.74938279376,4.80174938279375,0.249623496825726,249.623496825726,19.9736288011139,6.08729515093853,1
2,0.015,0.018,8,10863.8196592178,10.8638196592178,0.249623496825726,249.623496825726,19.9736288011139,6.23855170403423,0
2,0.015,0.02,2,251.67574938721,0.25167574938721,0.255804966665664,255.804966665664,18.5030588918044,5.09502203141052,1
2,0.015,0.02,4,1756.13092424994,1.75613092424993,0.255804966665664,255.804966665664,18.5030588918044,5.67845377200541,1
2,0.015,0.02,6,5524.59915076551,5.52459915076551,0.255804966665664,255.804966665664,18.5030588918044,5.93237828183533,1
2,0.015,0.02,8,12510.6976086025,12.5106976086025,0.255804966665664,255.804966665664,18.5030588918044,6.07821044517203,0
2,0.018,0.02,2,110.121547186102,0.110121547186102,0.255804966665664,255.804966665664,18.5030588918044,4.92369251214721,1
2,0.018,0.02,4,769.350942981441,0.769350942981441,0.255804966665664,255.804966665664,18.5030588918044,5.5627490459738,1
2,0.018,0.02,6,2421.99890766077,2.42199890766077,0.255804966665664,255.804966665664,18.5030588918044,5.84638931499359,1
2,0.018,0.02,8,5487.37867383189,5.48737867383189,0.255804966665664,255.804966665664,18.5030588918044,6.01083258737503,1
2.5,0.008,0.012,2,4335.19677310993,4.33519677310993,0.209482977852323,209.482977852323,20.9815668147643,6.0026115923207,1
2.5,0.008,0.012,4,29989.1807678003,29.9891807678003,0.209482977852323,209.482977852323,20.9815668147643,6.36619509584369,0
2.5,0.008,0.012,6,93875.2291233292,93.8752291233292,0.209482977852323,209.482977852323,20.9815668147643,6.51367116655836,0
2.5,0.008,0.012,8,211855.76304712,211.85576304712,0.209482977852323,209.482977852323,20.9815668147643,6.59565010311296,0
2.5,0.008,0.014,2,5171.5972233565,5.1715972233565,0.215095227508116,215.095227508116,18.9988511443607,5.79238681587655,1
2.5,0.008,0.014,4,35883.5768680317,35.8835768680317,0.215095227508116,215.095227508116,18.9988511443607,6.13741043208536,0
2.5,0.008,0.014,6,112522.718951987,112.522718951987,0.215095227508116,215.095227508116,18.9988511443607,6.27717177992638,0
2.5,0.008,0.014,8,254246.503467834,254.246503467834,0.215095227508116,215.095227508116,18.9988511443607,6.35481578627424,0
2.5,0.008,0.016,2,6074.08385727234,6.07408385727234,0.220783976748331,220.783976748331,17.3585072795821,5.61077289570135,1
2.5,0.008,0.016,4,42261.7225033185,42.2617225033185,0.220783976748331,220.783976748331,17.3585072795821,5.94013055904813,0
2.5,0.008,0.016,6,132732.583603876,132.732583603876,0.220783976748331,220.783976748331,17.3585072795821,6.07339315794573,0
2.5,0.008,0.016,8,300238.52646091,300.23852646091,0.220783976748331,220.783976748331,17.3585072795821,6.1473887800685,0
2.5,0.008,0.018,2,7041.82742458434,7.04182742458434,0.226511128309713,226.511128309713,15.9789030408911,5.45029510586609,0
2.5,0.008,0.018,4,49118.6592570698,49.1186592570698,0.226511128309713,226.511128309713,15.9789030408911,5.76604269750012,0
2.5,0.008,0.018,6,154490.708807715,154.490708807715,0.226511128309713,226.511128309713,15.9789030408911,5.89366821398424,0
2.5,0.008,0.018,8,349802.183685086,349.802183685086,0.226511128309713,226.511128309713,15.9789030408911,5.96450141397456,0
2.5,0.008,0.02,2,8074.09482380092,8.07409482380092,0.2322511486329,232.2511486329,14.8024471134436,5.30610628480271,0
2.5,0.008,0.02,4,56450.0036244302,56.4500036244302,0.2322511486329,232.2511486329,14.8024471134436,5.60977958272582,0
2.5,0.008,0.02,6,177784.616794534,177.784616794534,0.2322511486329,232.2511486329,14.8024471134436,5.73241043287267,0
